y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
4.523137255,17.7,28.4,3.6,12400,20.8,28.4,17.9,73.3,81.5,100,29.8,416,75,140,10460,28242,20400,11016,2.28,1.39,0.89,0.39,2.1,5.99,3.92,5.82,11.5,549.5,26.8,18.8,17.3,6.3,19.5,39.3,14.5,39.6,0.7,0.8,1.2,0.64,4775,5553,8680,180
4.883137255,15.9,26.3,2.6,14570,20.6,27.7,17.2,63.5,76.5,100,29.7,374,73,178,12994,35084,29900,16146,2.41,1.3,1.11,0.46,1.9,6.07,3.37,5.82,14.8,564.3,27.5,17,18,8,18,40.4,15.3,41.7,0.6,0.6,1.2,0.71,5499,5646,10199,180
4.23254902,18.4,28.6,9.5,14970,21.7,30,18.1,67,83.2,100,29.1,356,74,171,12678,34232,26600,14364,2.29,1.33,0.96,0.42,2.1,6.06,3.17,6.01,13.5,577.8,24,17,17,8,19.8,41.3,14.5,39.6,0.7,0.6,0.9,0.68,4888,5942,10479,180
2.804313725,17.7,28.1,5.7,14903,21.1,29.5,17.5,62.5,77.4,92.3,33.3,354,78,166,12877,34768,29700,16038,2.33,1.26,1.08,0.46,2,5.91,2.67,6.04,15.8,593.5,27.3,21.5,18.3,6.4,18.8,42.3,15,41,0.8,0.9,1.5,0.7,6632,5821,10432,180
3.661568627,20.7,33,9.1,17362,23.1,32.3,18.4,60.3,76.2,91.8,33,355,76,172,13146,35493,28500,15390,2.04,1.16,0.89,0.43,2.4,5.95,3.61,5.91,14.8,608.3,25.8,16.8,16.8,7.2,20.3,43.3,15,41,0.8,0.8,1,0.72,5849,6709,12153,180
5.293333333,20.4,30.2,10.8,15990,22.6,32,18.7,64.7,79.7,92,31,333,74,166,12213,32975,29900,16146,2.06,1.05,1.01,0.49,2,5.97,3.44,5.88,18.5,626.8,28,20.3,22.8,7.3,19.3,44.3,15.3,41.7,1,1,1.8,0.65,7978,6577,11193,180
1.42627451,22.1,31.2,14.7,13170,23.5,30.8,20.3,75.3,88.1,100,40.8,346,75,140,10480,28296,23000,12420,2.15,1.21,0.94,0.44,0.8,6.08,3.1,5.99,12.8,639.5,22,12.5,21.3,6.6,19.5,45.3,13.8,37.6,0.4,0.4,0.8,0.71,3754,6447,9219,180
1.435686275,22.6,31.6,16.8,11853,24.1,33.1,20.8,77.2,92.6,98.2,47.7,344,79,123.2,9684,26146,25900,13986,2.21,1.03,1.18,0.53,1.8,6.54,4.19,4.65,12.8,652.3,23,13.5,20,6.2,20.3,46.3,12.8,34.8,0.5,0.6,0.8,0.74,3548,6321,8297,180
0.849803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
1.109411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
