y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
2.167735849,22.35714286,32,15.6,13140,23.75714286,31,20.82857143,82.94285714,91.7,100,62.22857143,339.8571429,64.85714286,143,9274.571429,25041.34286,21100,9495,1.905733855,1.183131115,0.72260274,0.379172956,1.922857143,6.337142857,2.087142857,6.835714286,6,649.9732143,27.75,18.75,19.375,6.25,14.75,50.30681818,12.875,34.78237564,0.0375,0.4,1.361720509,0,9855,5980.340908,1549.497427,0
1.693584906,22.32857143,31.4,17,10722,24.1,31.78571429,21.37142857,76.87142857,92.95714286,99.1,58.42857143,350.4285714,64,134,8576,23155.2,20450,9202.5,2.15959709,1.301315053,0.858282037,0.397426928,1.99,6.294285714,2.602857143,6.725714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041.5,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,21.5,24.1,16,10542,22.55,28.45,0,0,0,90,55,0,72,87.5,6300,17010,3150,1417.5,1.613545817,1.479083665,0.134462151,0.083333333,3,5.5,6.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7906.5,0,0,0
,21.35714286,28.3,16.4,10542,22.18571429,28.71428571,0,0,0,97,57,0,83.85714286,96,8050.285714,21735.77143,5200,2340,2.061826165,1.839856899,0.221969266,0.107656634,3,5.5,5.657142857,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7906.5,0,0,0
,20.84285714,27.5,14.7,11789,22.14285714,28.85714286,0,0,0,98,52,0,83.71428571,126,10548,28479.6,14000,6300,2.41577742,1.881380948,0.534396471,0.221210972,2.785714286,5.5,5.457142857,6.7,36.625,36.625,45.25,46,7.125,15,19.625,0,7.125,19.2299984,4.4975,2.8,2.001362083,0.633685381,8841.75,6748.590433,4435.449735,240
,20.2,27.9,13.2,12113,21.81428571,28.42857143,0,0,0,98,62,0,86.28571429,142,12252.57143,33081.94286,20200,9090,2.731110613,1.980677195,0.750433419,0.274772254,2.671428571,5.5,5.257142857,6.6,28.125,64.75,49.125,46.125,13.75,12.625,27.125,0,9.75,26.31473465,1.12625,1.425,4.204419333,0.693487442,9084.75,8567.277299,5428.554326,240
,17.48571429,24.6,10.3,14626,20.17142857,27.15714286,0,0,0,95,59,0,86.14285714,160,13782.85714,37213.71429,28300,12735,2.5443535,1.673643805,0.870709695,0.342212548,2.614285714,5.5,4.814285714,6.585714286,26.5,91.25,48.375,50.375,13.25,12,25.125,0,12.5,33.73683929,0.875,1.025,4.357288332,0.769378727,10969.5,10373.38364,5794.747475,240
,16.41428571,24.7,7.8,10917,19.82857143,25.17142857,0,0,0,95,48,0,85,116,9860,26622,14600,6570,2.438582028,1.836768343,0.601813685,0.246788371,2.685714286,5.5,4.342857143,0,28,119.25,49,51.125,12.875,11.5,34.25,0,14.125,38.1226284,0.66625,0.35,4.352522476,0.788555478,8187.75,7742.156632,6212.544493,240
3.8828125,15.67142857,24.8,6.4,8976,19.8,25.24285714,0,0,0,98,47,0,85.57142857,102,8728.285714,23566.37143,14800,6660,2.625487013,1.883508403,0.74197861,0.282606086,2.6,5.5,4.385714286,0,28.5,147.75,47.25,43.25,13.625,11.125,32.5,0,14.625,39.47210197,0.875,0.825,3.757412011,0.72761194,6732,6279.308462,6375.884774,240
4.324652778,14.57142857,23.5,5.5,9939,18.81428571,24.75714286,0,0,0,98,52,0,87.57142857,112,9808,26481.6,17200,7740,2.664412919,1.885662542,0.778750377,0.292278412,2.6,5.5,4.228571429,6.6,24.375,172.125,46.875,44.375,14.875,10.5,33.625,0,12.5,33.73683929,0.7075,0.825,4.175428054,0.523959226,7454.25,7025.729991,4808.102364,220
3.8359375,12.52857143,20.5,3,9472,17.91428571,23.61428571,0,0,0,93,58,0,86,103,8858,23916.6,12100,5445,2.524978885,1.950126689,0.574852196,0.22766614,2.6,5.5,4.128571429,6.628571429,21.5,193.625,50.5,44.625,16.25,10.75,33.5,0,13.25,35.76104965,0.585,0.8,4.941824933,0.520582195,7104,6795.281566,4613.994085,220
2.261284722,9.828571429,18.6,2.71,8661,16.84285714,22.4,0,0,0,97,56,0,86.14285714,93,8011.285714,21630.47143,14100,6345,2.497456579,1.76486219,0.732594389,0.293336186,2.6,5.5,4.114285714,6.628571429,24.375,218,54.25,55,14,12.625,32.375,0,14.375,38.79736519,0.95625,0.625,5.637088477,0.512290933,6495.75,6495.75,4391.020567,220
2.339409722,8.5,16.4,1.1,9415,17,22.82857143,0,0,0,98,63,0,85.42857143,100,8542.857143,23065.71429,15540,6993,2.449889993,1.707139064,0.742750929,0.303177258,2.6,5.5,3.9,6.585714286,21.375,239.375,52.125,50.375,14.125,11.875,35.375,0,12.75,34.41157608,0.54125,0.4,5.005113926,0.39242844,7061.25,7061.25,3774.747475,200
2.066840278,11.32857143,18.8,3.6,5195,17.24285714,21.8,0,0,0,97,68,0,86.28571429,60,5177.142857,13978.28571,8000,3600,2.690719098,1.997745085,0.692974013,0.257542311,2.571428571,5.5,3.657142857,6.614285714,23.375,262.75,52.375,48.25,12.625,11.5,32.875,0,13.25,35.76104965,0.4175,0.9,4.305435864,0.392679855,3896.25,3681.144854,3993.020327,200
2.818576389,4.657142857,16.5,-2.3,7491,17.15714286,22.6,0,0,0,94,70,0,80.71428571,73,5892.142857,15908.78571,10900,4905,2.123719892,1.46893415,0.654785743,0.3083202,2.5,5.5,3.742857143,6.614285714,21.5,284.25,53,51.625,14,11.25,34.5,0,12.25,33.06210251,0.5425,0.575,5.169259727,0.346338705,5618.25,5618.25,3725.320756,200
2.238715278,2.683333333,12.2,-2.8,7372.166667,17.11666667,23.15,0,0,0,95,64,0,77.5,67.66666667,5244.166667,14159.25,6300,2835,1.920636177,1.536081658,0.384554518,0.200222469,2.5,5.5,3.714285714,6.614285714,22.75,307,52.625,53.5,13,12.375,30.375,0,13.125,35.42368126,0.4575,0.65,4.939166049,0.357215758,5529.125,5288.491835,3909.798292,200
1.526041667,0.628571429,8.7,-6.1,7629,16.88571429,22.77142857,0,0,0,96,74,0,81.71428571,59,4821.142857,13017.08571,6720,3024,1.706263693,1.309881467,0.396382226,0.232310063,2.5,5.5,3.528571429,6.685714286,19.375,326.375,53.25,54.875,12.5,11.625,30,0,13.75,37.11052322,0.66625,0.5,4.929110362,0.354918853,5721.75,5471.358998,3950.646857,200
1.475694444,2.157142857,12.5,-3.7,8120,16.87142857,22.92857143,0,0,0,96,72,0,83.57142857,55,4596.428571,12410.35714,5210,2344.5,1.528369106,1.239637579,0.288731527,0.188914789,2.5,5.5,3.728571429,6.7,24.75,351.125,54.125,57,14.875,12.625,29.75,0,13.875,37.44789161,0.91875,0.5,6.192900796,0.334357491,6090,6090,3972.229437,200
1.725694444,0.82,10.1,-5.5,7295.4,16.82,23,0,0,0,95,66,0,86.2,50.4,4344.48,11730.096,2408,1083.6,1.607875648,1.459343696,0.148531952,0.092377761,2.5,5.5,4.242857143,6.7,21.875,373,51.625,53.25,13.75,10.875,31.5,0,13.875,37.44789161,0.8725,0.925,5.100899402,0.314518871,5471.55,5471.55,3949.20202,200
1.911458333,2.714285714,11.7,-4.9,8598,17.15714286,23.74285714,0,0,0,97,68,0,78.14285714,66,5157.428571,13925.05714,6040,2718,1.619569335,1.303449307,0.316120028,0.195187709,2.5,5.5,4.3,6.7,21.625,394.625,48.75,52.75,13,11.375,28.75,0,13.5,36.43578644,0.70875,0.825,4.511332321,0.291947125,6448.5,6114.385512,4013.658276,200
2.030381944,3.3,11.1,-3.8,7119,17.12857143,23.07142857,0,0,0,96,69,0,90.57142857,52,4709.714286,12716.22857,5000,2250,1.786238035,1.470182409,0.316055626,0.176939254,2.5,5.5,4.242857143,6.728571429,24.25,418.875,48.125,48.75,12.5,11.625,27.625,0,14.125,38.1226284,0.7925,0.925,3.95748939,0.290525775,5339.25,5008.432768,4144.854097,200
2.057291667,3.285714286,9,-3.7,8434,17.42857143,24.58571429,0,0,0,97,63,0,88.85714286,63,5598,15114.6,5990,2695.5,1.792103391,1.47250415,0.319599241,0.178337501,2.5,5.5,4.5,6.714285714,20.5,439.375,46.25,46,14.375,10.5,30.875,0,13.875,37.44789161,0.75,0.975,4.127069722,0.272760781,6325.5,5956.129665,4221.693122,200
1.940104167,3.75,11.3,-2.5,6042.166667,17.03333333,22.45,0,0,0,97,70,0,88.33333333,52.5,4637.5,12521.25,3815,1716.75,2.072311257,1.788183047,0.28412821,0.137106918,2.5,5.5,4.516666667,6.75,23.875,463.25,47.625,46.875,12.875,11.375,30.125,0,14.875,40.14683876,0.83125,0.675,3.878715189,0.278753807,4531.625,4242.156863,4272.27439,200
2.147569444,2.042857143,10.5,-5,10640,17.6,25.3,0,0,0,92,64,0,79.71428571,92,7333.714286,19801.02857,11700,5265,1.860998926,1.366168099,0.494830827,0.265895278,2.5,5.5,4.242857143,6.7,23.625,486.875,45.25,48.125,13.875,10.625,30,0,14.75,39.80947037,0.8325,0.925,4.077431761,0.26405299,7980,7506.228976,4510.048634,200
2.998263889,1.714285714,10.4,-7,10734,17.25714286,25.22857143,0,0,0,96,64,0,70.85714286,87,6164.571429,16644.34286,5320,2394,1.550618861,1.327589236,0.223029625,0.143832654,2.5,5.5,4.228571429,6.7,26.25,513.125,44.875,48.75,14.125,10.625,30.625,0,14.625,39.47210197,1.00125,0.925,4.169960314,0.248455119,8050.5,7586.893424,4319.82684,200
2.881076389,4.516666667,10.1,-4.8,8409.333333,17.5,23.98333333,0,0,0,98,67,0,67.66666667,74.66666667,5052.444444,13641.6,1592.5,716.625,1.622197558,1.536979745,0.085217814,0.052532328,2.5,5.5,4.3,6.716666667,20.5,533.625,46.625,45.875,16.375,9.375,28,0,15.125,40.82157554,1,1,4.726510363,0.244488897,6307,6003.988071,4552.808954,200
2.220486111,5.557142857,13.1,-1.3,8679,17.8,23.62857143,0,0,0,98,62,0,69.71428571,73,5089.142857,13740.68571,1621,729.45,1.583210706,1.499163004,0.084047701,0.05308687,2.542857143,5.5,4.414285714,6.742857143,20.375,554,42.625,45.75,15,9.75,28.25,0,15.875,42.8457859,0.6675,0.725,3.947399967,0.24856634,6509.25,6104.409644,4881.729642,200
2.6640625,3.428571429,11.2,-3.6,10133,17.71428571,24.42857143,0,0,0,95,58,0,75.85714286,95,7206.428571,19457.35714,7065,3179.25,1.920197093,1.606444996,0.313752097,0.163395778,2.5,5.5,4.871428571,6.757142857,18.5,572.5,43.5,44.875,11.75,10.875,27.5,0,16.375,44.19525947,0.79375,0.75,3.095251686,0.247179139,7599.75,6847.740599,4961.384569,200
3.274305556,4.9,13.6,-3.7,13245,18.42857143,25.8,0,0,0,94,43,0,58.28571429,140,8160,22032,8860,3987,1.663420159,1.362400906,0.301019253,0.180964052,2.442857143,5.5,4.428571429,6.7,20.75,593.25,43.125,42.625,14.125,10.5,26.75,0,16.75,45.20736465,0.7475,0.95,3.503856733,0.24456125,9933.75,9175.442246,5424.703828,200
3.280381944,10.27142857,20.9,0.4,10588,18.75714286,25.27142857,0,0,0,98,45,0,54.28571429,122,6622.857143,17881.71429,1320,594,1.688866102,1.632764855,0.056101247,0.033218292,2.442857143,5.5,4.628571429,6.757142857,20.375,613.625,42.25,42.875,12.875,9.875,29.375,0,15.75,42.50841751,1,1.075,3.14733135,0.220310533,7941,7183.352725,5324.644861,200
2.986111111,9.057142857,20.4,-1.2,16210,18.78571429,26.41428571,0,0,0,90,33,0,58.57142857,188,11011.42857,29730.85714,9780,4401,1.834105931,1.562606856,0.271499075,0.148028023,2.385714286,5.5,4.385714286,6.7,22.5,636.125,41.875,42.875,14.5,10.125,30.25,0,16.875,45.54473304,0.9575,0.675,3.513106689,0.226928896,12157.5,11234.16519,5644.443108,200
2.760416667,12.84285714,19.4,3.3,7098,16.81428571,23.74285714,0,0,0,98,34,0,66,92,6072,16394.4,4630,2083.5,2.309721048,2.016187658,0.29353339,0.127086078,2.3,5.5,4.4,6.757142857,21.875,658,42.875,39.875,14.25,10.125,28.5,0,15.75,42.50841751,1.17,1.025,3.287638648,0.202253684,5323.5,4860.973812,4362.956015,200
3.010416667,10.48571429,19.6,4.9,8895,17.82857143,23.6,0,0,0,94,46,0,63.71428571,117,7454.571429,20127.34286,7300,3285,2.262770417,1.893461816,0.3693086,0.163210813,2.3,5.5,4.442857143,6.728571429,19.875,677.875,43.125,43.375,13.5,8.125,29.125,0,16.25,43.85789108,1.0425,1.0125,3.407742323,0.200617284,6671.25,6133.099441,4988.805872,200
3.616319444,11.61428571,19.5,4.7,13116,18.22857143,25.02857143,0,0,0,95,41,0,64.28571429,190,12214.28571,32978.57143,14000,6300,2.514377206,2.034047837,0.480329369,0.191033138,2.3,5.042857143,4.057142857,6.7,18.5,696.375,41.375,38.25,15.125,8.625,27.125,0,16.5,44.53262787,0.9575,1.4625,3.230198516,0.196727175,9837,8949.691201,5256.253541,200
3.615451389,14.08571429,22,5.8,11189,18.5,24.1,0,0,0,96,24,0,63.14285714,171,10797.42857,29153.05714,18560,8352,2.605510514,1.85906311,0.746447404,0.286487965,2.3,5.5,3.185714286,6.657142857,19,715.375,41,33.14285714,14.71428571,8,26.42857143,0,16.85714286,45.49653756,1.0425,0.55,2.69822008,0,8391.75,7269.52357,1031.537598,0
4.4375,17.1,26.5,9.8,13561,19.64285714,27,0,0,0,98,34,0,62.57142857,205,12827.14286,34633.28571,22880,10296,2.553888778,1.794652733,0.759236045,0.297286261,2.3,5.5,2.7,6.657142857,20,735.375,37.66666667,34.66666667,16,9.5,30.16666667,0,15,40.48420715,1,1,2.819380163,0,10170.75,8934.494488,1143.813799,0
3.440972222,16.61666667,24.9,7.1,16483.83333,19.61666667,27.16666667,0,0,0,95,32,0,60.66666667,242.6666667,14721.77778,39748.8,31383.33333,14122.5,2.411380848,1.554632317,0.856748531,0.355293745,2.3,5.5,2.683333333,6.633333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12362.875,0,0,0
3.211805556,17.41666667,24.8,11.8,12894,19.46666667,26.43333333,0,0,0,98,49,0,60.83333333,190.1666667,11568.47222,31234.875,22283.33333,10027.5,2.422434853,1.644747557,0.777687296,0.321035381,2.3,5.5,2.7,6.642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9670.5,0,0,0
3.251736111,18.63333333,28.2,12.6,16111.66667,20.06666667,27.75,0,0,0,96,37,0,61.33333333,248.5,15241.33333,41151.6,36400,16380,2.554149167,1.537494569,1.016654598,0.398040416,2.3,5.514285714,2.716666667,6.628571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12083.75,0,0,0
5.238715278,20.95,29.1,13.3,18548.83333,21.68333333,30.91666667,0,0,0,95,34,0,58.16666667,278.8333333,16218.80556,43790.775,39316.66667,17692.5,2.36083716,1.407003585,0.953833574,0.40402345,2.414285714,5.5,2.75,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13911.625,0,0,0
3.944444444,20.08333333,29.2,13.8,14189,21.46666667,28.61666667,0,0,0,98,32,0,57,213.5,12169.5,32857.65,27183.33333,12232.5,2.315712876,1.453601381,0.862111495,0.372287732,2.5,5.5,2.75,6.633333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10641.75,0,0,0
2.081597222,21.12,29.1,12.7,14813.4,22.52,29.84,0,0,0,99,49,0,51,190.4,9710.4,26218.08,26152,11768.4,1.769889424,0.975446555,0.794442869,0.448865821,2.5,5.5,3.42,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11110.05,0,0,0
2.990451389,21.68333333,28.6,16.2,11833.5,22.58333333,29.91666667,0,0,0,99,47,0,54.33333333,177.3333333,9635.111111,26014.8,27066.66667,12180,2.198402839,1.169121562,1.029281278,0.468195027,2.5,5.5,3.383333333,6.633333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8875.125,0,0,0
3.761284722,21.36,28.3,17.4,11425.4,22.8,29.26,0,0,0,97,54,0,54.6,168,9172.8,24766.56,14280,6426,2.16767553,1.605244455,0.562431075,0.259462759,2.5,5.5,3.36,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8569.05,0,0,0
0.918402778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25.15714286,34.3,20.7,14285,26.92857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999.5,29.9985,0,0
0,23.82857143,31.6,19,13683,25.77142857,28.41428571,22.52857143,62.15714286,92.5,98.5,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9578.1,28.7343,0,0
0,23.6,32.3,18.9,14126,25.12857143,27.82857143,21.98571429,69.38571429,92.67142857,100,37.7,0,28.57142857,24.5,700,1759.874608,1050,659.9529781,0.124584073,0.077865045,0.046719027,0.375,3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9888.2,29.6646,0,0
0,20.61428571,28.7,11.9,13241,22,24.82857143,18.95714286,66.01428571,88.57142857,99,40.3,347.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6,64.6,41.2,26.8,8.6,6.76,7,0,0,0,1.5,0,0.039788988,0,9268.7,249.3483845,465.849161,0
0,19.84285714,29.3,12.2,14760,21.6,24.92857143,18.07142857,65.61428571,84.21428571,99.5,44.3,290.7142857,105.4794521,73,7700,19358.62069,8496,5339.962382,1.311559667,0.949773598,0.361786069,0.275844156,2.742857143,5.5,4.342857143,6.242857143,69.8,134.4,52.5,45.9,11.8,12.62,19.4,0,4.3,10.81065831,1.3,2.165,0.582286343,0,10332,3231.283162,450.3208556,0
0,20.58571429,30.8,14.5,13448,21.58571429,24.51428571,18.55714286,78.38571429,94.34285714,100,40.2,314,120,61,7320,18403.26019,6236,3919.492163,1.368475624,1.077020228,0.291455396,0.212978142,3,5.5,5.514285714,6.642857143,31.7,166.1,43.8,45,14.8,13.78,25.8,0,8.1,20.36426332,1.125,1.085,2.387010115,0,9413.6,7791.880582,449.7662733,0
0,20.11428571,32,10.7,12418,21.52857143,24.17142857,18.94285714,73.3,87.85714286,100,35.5,374.1428571,120,89,10680,26850.65831,16268,10224.87147,2.162236939,1.338845775,0.823391164,0.380805243,3.357142857,5.5,6.2,6.457142857,18.15,184.25,47.1,37.4,17.8,9.98,15.45,0,10.8,27.1523511,0.65,0.675,3.422876365,0,8692.6,7997.636302,447.5479439,0
0,16.78571429,26.8,8.4,13115,20.5,22.87142857,18.28571429,68,88.55714286,96.8,40.8,368.1428571,135.5670103,97,13150,33060.50157,23600,14833.22884,2.520815979,1.389803487,1.131012493,0.448669202,3.057142857,5.5,5.242857143,0,25.1,209.35,41.5,32.8,14,8.09,11.35,0,14.8,37.20877743,0.75,0.925,2.978233989,0,9180.5,8191.592848,407.6180159,0
0,14.82857143,25.5,7.7,11965,19.24285714,21.44285714,17.31428571,74.48571429,86.04285714,95.8,47.2,331.1428571,148.0555556,72,10660,26800.37618,17500,10999.2163,2.239897716,1.320615117,0.919282599,0.410412758,2.7,5.5,4.357142857,0,24.8,234.15,41.3,32.6,14.4,8.24,12.2,0,18.4,46.25956113,0.9,1.1,2.585096003,1.222222222,8375.5,7148.665147,6814.291173,220
0,16.65714286,25.7,10,9848,19.37142857,22,17.11428571,78,92.62857143,100,50.1,405.2857143,129.53125,64,8290,20841.94357,12172,7650.426332,2.116363076,1.339512311,0.776850765,0.367068758,2.642857143,5.528571429,4.285714286,5.785714286,25.45,259.6,45.6,43.5,14.5,9.72,21,0,18.7,47.0137931,0.8,0.575,2.513521651,1.222222222,6893.6,5823.209719,7015.796816,220
0,12.17142857,23,0.7,9936,18.1,20.31428571,16.32857143,78.58571429,88.64285714,99,54.8,349.4285714,128.6153846,65,8360,21017.93103,12500,7856.583072,2.115331223,1.324612315,0.790718908,0.373803828,2.6,5.714285714,4.4,5.928571429,21,280.6,44.9,41.2,15.2,8.68,17.35,0,20.2,50.78495298,0.825,0.565,2.856830322,1,6955.2,6133.94406,5395.930832,180
0.38209683,11.08,22.5,1.5,7128.8,17.76,19.72,16.34,83.62,90.96,99.6,57.1,395.5,131.1363636,44,5770,14506.39498,5840,3670.595611,2.034899981,1.520003279,0.514896702,0.253032929,2.614285714,5.771428571,4.266666667,6.05,20.35,300.95,42.8,38,17.5,9.47,21.3,9,21.7,54.55611285,0.54,0.79,3.234812746,1.347222222,4990.16,4541.414726,7346.796694,242.5
0.757575758,13.41428571,21.1,6.6,4448,17.52857143,18.82857143,16.54285714,89.35714286,95.54285714,100,53.7,430.2857143,150,25,3750,9427.899687,4350,2734.090909,2.119581764,1.504903052,0.614678712,0.29,2.628571429,5.814285714,4.475,6.125,21.55,322.5,42.5,36.7,19.6,8.22,16.05,9,21.6,54.30470219,0.7,0.7,3.30695697,1.388888889,3113.6,2846.391768,7306.622257,250
0.911877395,12.82857143,19.2,6.6,4290,17.32857143,18.34285714,16.57142857,89.01428571,94.07142857,100,71.8,385.1428571,150,19,2850,7165.203762,2280,1433.040752,1.670210667,1.336168534,0.334042133,0.2,2.671428571,5.9,4.76,6.22,21.1,343.6,42.2,36.4,18.3,8.19,16.95,10,20.7,52.04200627,0.41,0.42,3.288262224,1.388888889,3003,2742.192139,6828.017702,250
0.861372344,6.557142857,19.5,-2.1,3354,16.71428571,17.64285714,16.08571429,88.85714286,88.84285714,96.1,68.6,418.5714286,150,19,2850,7165.203762,950,597.1003135,2.13631597,1.958289639,0.178026331,0.083333333,2.7,6,5,6.2,20.65,364.25,43.3,39.5,19.6,9.2,22.4,10,19.6,49.27648903,0.51,0.67,3.472551055,1.375,2347.8,2165.404387,5880.347409,247.5
0.725531174,6.028571429,13.5,-1,4424,15.57142857,17.18571429,14.51428571,87.21428571,88.38571429,97.7,63.3,384,150,22,3300,8296.551724,2030,1275.909091,1.875350751,1.586944537,0.288406214,0.153787879,2.785714286,5.914285714,5.475,6.225,16.55,380.8,43.8,40,18.4,9.05,17.8,19,19.1,48.01943574,0.35,0.29,3.53527165,1.276388889,3096.8,2864.430526,4434.582689,229.75
0.690700104,5.6,15.2,-3.3,5352,15.75714286,17.68571429,14.48571429,84.54285714,89.11428571,98.5,62.5,363,150,25,3750,9427.899687,2850,1791.30094,1.761565711,1.426868226,0.334697485,0.19,2.742857143,5.871428571,5.42,6.34,18.44444444,399.2444444,43,43.22222222,19.44444444,10.06666667,21.61111111,20,18.44444444,46.3712992,0.595555556,0.606666667,3.843093722,1.230555556,3746.4,3503.593485,4281.644561,221.5
0.971090212,4.5,15.2,-5.5,4714,15.77142857,17.8,14.41428571,85.05714286,87.92857143,94.4,61.3,423.5714286,150,22,3300,8296.551724,2060,1294.76489,1.759981274,1.485317529,0.274663744,0.156060606,2.6,5.828571429,5.45,6.35,13.65,412.8944444,41.1,40.2,15.4,9.68,22,21,17.7,44.49968652,0.454444444,0.383333333,3.521848265,1.166666667,3299.8,3050.385573,3925.37813,210
1.181818182,4.042857143,12.3,-2.5,4980,16.24285714,18.52857143,14.71428571,84.77142857,89.01428571,96.3,70.6,437,150,22,3300,8296.551724,2550,1602.742947,1.665974242,1.344138309,0.321835933,0.193181818,2.642857143,5.871428571,5.225,6.3,17.1,429.9944444,40.6,40.5,12.9,10.42,22,22,16.7,41.98557994,0.64,0.53,3.09151192,1.020833333,3486,3140.138228,3547.636389,183.75
0.867293626,1.228571429,12.8,-6.5,6451,16.61428571,19.01428571,15.04285714,81.88571429,86.68571429,95.7,70.5,413.1428571,150,26,3900,9805.015674,3500,2199.84326,1.519921822,1.178913721,0.341008101,0.224358974,2.685714286,5.857142857,5.316666667,6.416666667,15.95,445.9444444,37.7,32.9,15.9,8.31,13,23,18,45.2539185,0.78,0.83,2.512102538,1.011111111,4515.7,3813.719527,3995.366421,182
0.695576454,2.985714286,13.6,-4.6,6242,16.7,19.05714286,15.1,82.37142857,88.12857143,95.5,67.4,414.8571429,150,25,3750,9427.899687,2520,1583.887147,1.510397258,1.256650519,0.253746739,0.168,2.628571429,5.885714286,5.257142857,6.442857143,17,462.9444444,37.6,35.3,12.7,9.41,18.7,22.77777778,17.9,45.00250784,0.61,0.69,2.190753487,0.997222222,4369.4,3484.244075,3974.372275,179.5
0.529432254,0.342857143,8.8,-7.4,6766,16.68571429,19.14285714,15.02857143,81.5,86.52857143,93.4,67.3,390.8571429,127.2727273,33,4200,10559.24765,3600,2262.695925,1.560633705,1.226212197,0.334421508,0.214285714,2.785714286,5.928571429,5.183333333,6.55,17.2,480.1444444,37.3,37,14.4,9.7,19.15,23.77777778,18.9,47.51661442,0.54,0.58,2.13429782,0.976388889,4736.2,3730.995438,4091.200467,175.75
0.540229885,-3.657142857,6.9,-11.2,5972,16.15714286,17.9,14.88571429,83.97142857,86.51428571,92.8,73,384,120,33,3960,9955.862069,3450,2168.416928,1.667090099,1.303992823,0.363097275,0.21780303,2.8,5.142857143,5.34,5.82,15.95,496.0944444,38.4,34.8,16.5,9.14,16.5,24.77777778,19.5,49.02507837,0.725,0.595,2.216860192,0.948611111,4180.4,3351.593035,3776.196407,170.75
